Stonecode-EC;Razao-de-Split;Elo-VAN;D+2;Split-Debito;Split-Credito;Split-Visa;Razao-Social-EC;Fornecedor;Data-de-Inicio;Merchant-ID
409582682;0.5;Full;0;1;1;1;EMILY MODA JUVENIL - EIRELI;Codigo Girls;2018-01-15;783486
446563819;0.5;Sub;0;1;1;1;Codigo Girl Itaqua;Codigo Girls;2017-12-06;759213
495376995;1;Sub;1;1;1;1;JESSEL COMERCIO DE ROUPAS LTDA - ME;Codigo Girls;2017-12-15;766022
186149555;0.7;Full;0;1;1;1;A. CARMONA ROUPAS E ACESSORIOS - ME;Codigo Girls;2017-12-15;766003
919431435;0.5;Sub;0;1;1;1;CODIGO GIRLS SUZANO;Codigo Girls;2017-11-13;123456
101778205;1;1;1;1;1;1;TERRA NOVA BOSQUE;Fortesec;2017-12-28;258410
113747352;1;Sub;1;1;1;1;Grupo Rmex;Fortesec;2017-12-22;762034
551756879;1;1;1;1;1;1;S.P.E. RESORT DO LAGO CALDAS NOVAS LTDA;Fortesec;2017-12-06;756050
838625852;1;1;1;1;1;1;TERRA NOVA;Fortesec;2017-12-28;258418
101443535;1;Sub;0;1;1;0;COMERCIAL RABELOSOM 1;Gordon Brothers;2018-03-22;836435
104241336;1;Sub;0;1;1;0;COMERCIAL RABELOSOM 2;Gordon Brothers;2018-03-22;836442
874972795;1;Sub;0;1;1;0;COMERCIAL RABELOSOM 3;Gordon Brothers;2018-03-22;836449
376408596;1;Sub;0;1;1;0;COMERCIAL RABELOSOM 4;Gordon Brothers;2018-03-22;836422
316177528;1;Sub;0;1;1;0;COMERCIAL RABELOSOM 5;Gordon Brothers;2018-03-22;836428
178401438;1;Sub;0;1;1;0;COMERCIAL RABELOSOM 6;Gordon Brothers;2018-03-22;836446
140220303;1;Sub;0;1;1;0;COMERCIAL RABELOSOM 7;Gordon Brothers;2018-03-22;836445
116749823;1;Sub;0;1;1;0;COMERCIAL RABELOSOM 8;Gordon Brothers;2018-03-22;836426
104644848;1;Sub;0;1;1;0;COMERCIAL RABELOSOM 9;Gordon Brothers;2018-03-22;836413
980529352;1;Sub;0;1;1;0;COMERCIAL RABELOSOM 10;Gordon Brothers;2018-03-22;836432
941580688;1;Full;0;1;1;0;COMERCIAL RABELOSOM 11;Gordon Brothers;2018-04-07;836421
566122233;1;Sub;0;1;1;0;COMERCIAL RABELOSOM 12;Gordon Brothers;2018-04-07;836438
563436638;1;Sub;0;1;1;0;COMERCIAL RABELOSOM 13;Gordon Brothers;2018-04-07;836447
200412974;1;Sub;0;1;1;0;COMERCIAL RABELOSOM 14;Gordon Brothers;2018-04-07;836437
161002493;1;Full;0;1;1;0;COMERCIAL RABELOSOM 15;Gordon Brothers;2018-04-07;836412
154462160;1;Sub;0;1;1;0;COMERCIAL RABELOSOM 16;Gordon Brothers;2018-04-07;836444
120877643;1;Sub;0;1;1;0;COMERCIAL RABELOSOM 17;Gordon Brothers;2018-04-07;836414
110251717;1;Full;0;1;1;0;COMERCIAL RABELOSOM 18;Gordon Brothers;2018-04-07;836433
106411136;1;Full;0;1;1;0;COMERCIAL RABELOSOM 19;Gordon Brothers;2018-04-07;836427
106074963;1;Sub;0;1;1;0;COMERCIAL RABELOSOM 20;Gordon Brothers;2018-04-07;836424
168991171;1;1;0;1;1;0;COMERCIAL RABELOSOM 21;Gordon Brothers;2018-04-07;532304
157613562;1;1;0;0;1;1;Cena de Cinema;Imaginarium;2017-11-30;550182
195718042;1;1;0;0;1;1;Mapa da Mina;Imaginarium;2017-11-30;550189
400496596;1;0;0;0;1;1;Bar do Alemao;Kavod;2018-02-10;752000
200006561;1;0;0;0;1;1;Bar do Alemao;Kavod;2018-02-15;751989
117677327;1;0;0;0;1;1;Bar do Alemao;Kavod;2018-02-15;751959
216760246;1;0;0;0;1;1;Bar do Alemao;Kavod;2018-02-15;751980
144940835;1;1;1;0;1;1;Sarayu Restaurantes e participa̵̤es S/A;Kavod;2017-12-22;752011
555831172;0.4;Full;0;1;1;1;Mega Saldao;Mobly;2017-11-13;604341
187668974;0.4;Full;0;1;1;1;Parafernalha;Mobly;2017-11-13;541365
157091854;0.7;Sub;0;0;1;1;DUMOND BRASILIA PKS;Paqueta;2018-02-09;757554
