Merchant-ID;Razao-de-Split;Elo-VAN;D+2;Split-Debito;Split-Credito;Split-Visa;Razao-Social-EC;Fornecedor;Data-de-Inicio;Stonecode-EC
766022;1;0;1;1;1;1;JESSEL COMERCIO DE ROUPAS LTDA - ME;Codigo Girls;15/12/2017;495376995
766003;0.7;0;0;1;1;1;A. CARMONA ROUPAS E ACESSORIOS - ME;Codigo Girls;15/12/2017;186149555
123456;0.5;0;0;1;1;1;CODIGO GIRLS SUZANO;Codigo Girls;13/11/2017;919431435
258410;1;0;1;1;1;1;TERRA NOVA BOSQUE;Fortesec;28/12/2017;101778205
762034;1;0;1;1;1;1;Grupo Rmex;Fortesec;22/12/2017;113747352
756050;1;1;1;1;1;1;S.P.E. RESORT DO LAGO CALDAS NOVAS LTDA;Fortesec;06/12/2017;551756879
258418;1;0;1;1;1;1;TERRA NOVA;Fortesec;28/12/2017;838625852
836435;1;0;1;1;1;0;COMERCIAL RABELOSOM 1;Gordon Brothers;22/03/2018;101443535
836442;1;0;1;1;1;0;COMERCIAL RABELOSOM 2;Gordon Brothers;22/03/2018;104241336
836449;1;0;1;1;1;0;COMERCIAL RABELOSOM 3;Gordon Brothers;22/03/2018;874972795
836422;1;0;1;1;1;0;COMERCIAL RABELOSOM 4;Gordon Brothers;22/03/2018;376408596
836428;1;0;1;1;1;0;COMERCIAL RABELOSOM 5;Gordon Brothers;22/03/2018;316177528
836446;1;0;1;1;1;0;COMERCIAL RABELOSOM 6;Gordon Brothers;22/03/2018;178401438
836445;1;0;1;1;1;0;COMERCIAL RABELOSOM 7;Gordon Brothers;22/03/2018;140220303
836426;1;0;1;1;1;0;COMERCIAL RABELOSOM 8;Gordon Brothers;22/03/2018;116749823
836413;1;0;1;1;1;0;COMERCIAL RABELOSOM 9;Gordon Brothers;22/03/2018;104644848
836432;1;0;1;1;1;0;COMERCIAL RABELOSOM 10;Gordon Brothers;22/03/2018;980529352
836421;1;0;1;1;1;0;COMERCIAL RABELOSOM 11;Gordon Brothers;07/04/2018;941580688
836438;1;0;1;1;1;0;COMERCIAL RABELOSOM 12;Gordon Brothers;07/04/2018;566122233
836447;1;0;1;1;1;0;COMERCIAL RABELOSOM 13;Gordon Brothers;07/04/2018;563436638
836437;1;0;1;1;1;0;COMERCIAL RABELOSOM 14;Gordon Brothers;07/04/2018;200412974
836412;1;0;1;1;1;0;COMERCIAL RABELOSOM 15;Gordon Brothers;07/04/2018;161002493
836444;1;0;1;1;1;0;COMERCIAL RABELOSOM 16;Gordon Brothers;07/04/2018;154462160
836414;1;0;1;1;1;0;COMERCIAL RABELOSOM 17;Gordon Brothers;07/04/2018;120877643
836433;1;0;1;1;1;0;COMERCIAL RABELOSOM 18;Gordon Brothers;07/04/2018;110251717
836427;1;0;1;1;1;0;COMERCIAL RABELOSOM 19;Gordon Brothers;07/04/2018;106411136
836424;1;0;1;1;1;0;COMERCIAL RABELOSOM 20;Gordon Brothers;07/04/2018;106074963
532304;1;1;1;1;1;0;COMERCIAL RABELOSOM 21;Gordon Brothers;07/04/2018;168991171
550182;1;1;0;0;1;1;Cena de Cinema;Imaginarium;30/11/2017;157613562
550189;1;1;0;0;1;1;Mapa da Mina;Imaginarium;30/11/2017;195718042
752000;1;0;0;0;1;1;Bar do Alemao;Kavod;10/02/2018;400496596
751989;1;0;0;0;1;1;Bar do Alemao;Kavod;15/02/2018;200006561
751959;1;0;0;0;1;1;Bar do Alemao;Kavod;15/02/2018;117677327
751980;1;0;0;0;1;1;Bar do Alemao;Kavod;15/02/2018;216760246
752011;1;1;0;0;1;1;Sarayu Restaurantes e participa̵̤es S/A;Kavod;22/12/2017;144940835
604341;0.4;0;0;1;1;1;Mega Saldao;Mobly;13/11/2017;555831172
541365;0.4;0;0;1;1;1;Parafernalha;Mobly;13/11/2017;187668974
757554;0.7;0;0;0;1;1;DUMOND BRASILIA PKS;Paqueta;09/02/2018;157091854
